,0
0,0.6784998
1,0.6662417
2,0.67310697
3,0.6736464
4,0.6613916
5,0.6763346
6,0.669007
7,0.6585377
8,0.66545105
9,0.6785334
10,0.68427056
11,0.7160595
12,0.7724994
13,0.8045606
14,0.85608447
15,0.8844258
16,0.9270073
17,0.9516493
18,0.96401876
19,0.96833247
20,0.9691704
