,0
0,0.6055356
1,0.6030508
2,0.6058391
3,0.6323074
4,0.6316924
5,0.67347157
6,0.7080017
7,0.7377101
8,0.72571456
9,0.7304636
10,0.7567234
11,0.74802786
12,0.7652143
13,0.76207656
14,0.7960627
15,0.7964833
16,0.8317507
17,0.85065097
18,0.8680936
19,0.87708825
20,0.8798038
