,0
0,0.0061143534
1,0.0089929635
2,0.011571204
3,0.013899444
4,0.021761958
5,0.034326114
6,0.044859745
7,0.052634276
8,0.052547675
9,0.051594764
10,0.046948656
11,0.047446124
12,0.053994156
13,0.054038435
14,0.060526773
15,0.070004515
16,0.0750663
17,0.09233571
18,0.13980737
19,0.20124568
20,0.22814403
