,0
0,0.062052432
1,0.079404116
2,0.0948203
3,0.102054894
4,0.123700894
5,0.14574037
6,0.16453618
7,0.19146655
8,0.21861345
9,0.26004723
10,0.26474428
11,0.30420616
12,0.3464669
13,0.34165356
14,0.3848731
15,0.4548101
16,0.50821406
17,0.5208477
18,0.5116869
19,0.50292313
20,0.5087979
