,0
0,0.8170488
1,0.84569484
2,0.8229192
3,0.82772756
4,0.82291406
5,0.81073695
6,0.82066905
7,0.79434574
8,0.80538225
9,0.7864247
10,0.7725068
11,0.7876147
12,0.77673775
13,0.8072901
14,0.82454836
15,0.84592146
16,0.87649596
17,0.90146214
18,0.9136292
19,0.92206985
20,0.93780684
