,0
0,0.54210746
1,0.56271154
2,0.5074033
3,0.5284645
4,0.52478063
5,0.5487166
6,0.60969
7,0.6210473
8,0.63121873
9,0.6391599
10,0.6532502
11,0.71832824
12,0.82084924
13,0.8670854
14,0.9457874
15,0.96740985
16,0.98752135
17,0.9929295
18,0.99601173
19,0.9978828
20,0.998762
