,0
0,0.0038425783
1,0.003589247
2,0.0031709697
3,0.0029754324
4,0.003053257
5,0.0029911315
6,0.00319186
7,0.0039085005
8,0.004635309
9,0.0058986684
10,0.0064714006
11,0.011838298
12,0.029104685
13,0.061968077
14,0.17641442
15,0.4250298
16,0.8392354
17,0.9709607
18,0.9933304
19,0.99688053
20,0.9982747
