index,value
0,0.5297275185585022
1,0.5322250723838806
2,0.5242769122123718
3,0.523149311542511
4,0.56657475233078
5,0.5843068957328796
6,0.5796904563903809
7,0.5712670683860779
8,0.5708070397377014
9,0.5907367467880249
10,0.5646005272865295
11,0.596821129322052
12,0.6340253353118896
13,0.6465861201286316
14,0.6812201142311096
15,0.6890425086021423
16,0.6967334747314453
17,0.7094959616661072
18,0.7416031956672668
19,0.7345282435417175
20,0.7332714200019836
